cond_id,T_degC,T_K,invTK,SOC_store,SOC_pct,t_h,sqrt_t,Q_Ah,SOH_init,dSOH,EFC,SOCc,SOCc2,source_col
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,9665.8,98.3148005134527,2.72233658020748,0.909404549008745,0.0905954509912548,0,0.5,0.25,"TP_40°C,100%SOC"
TP_25C_0SOC,25,298.15,0.00335401643468053,0,0,12211,110.503393613047,2.95427538176763,0.98608389175606,0.0139161082439403,0,-0.5,0.25,"TP_25°C,0%SOC"
TP_25C_50SOC,25,298.15,0.00335401643468053,0.5,50,3286.7,57.3297479499082,2.94190250252598,0.982889564637239,0.0171104353627614,0,0,0,"TP_25°C,50%SOC"
TP_40C_100SOC,40,313.15,0.00319335781574325,1,100,7663.4,87.5408476084165,2.74786892830153,0.917933705055215,0.0820662949447847,0,0.5,0.25,"TP_40°C,100%SOC"
TP_40C_88SOC,40,313.15,0.00319335781574325,0.875,87.5,2579.2,50.7858247939324,2.83421971266971,0.946888337277471,0.0531116627225293,0,0.375,0.140625,"TP_40°C,87.5%SOC"
TP_40C_50SOC,40,313.15,0.00319335781574325,0.5,50,408.99,20.2235011805572,2.96553829141535,0.99193906395846,0.00806093604153968,0,0,0,"TP_40°C,50%SOC"
TP_40C_12SOC,40,313.15,0.00319335781574325,0.125,12.5,10302,101.498768465435,2.88372178742421,0.963153337077041,0.0368466629229586,0,-0.375,0.140625,"TP_40°C,12.5%SOC"
TP_40C_0SOC,40,313.15,0.00319335781574325,0,0,8300.1,91.1048846110899,2.94678478001385,0.983967136374332,0.0160328636256678,0,-0.5,0.25,"TP_40°C,0%SOC"
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,1945,44.1021541423999,2.88714520977471,0.963457916293002,0.0365420837069977,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_40C_75SOC,40,313.15,0.00319335781574325,0.75,75,5753.1,75.8491924808696,2.82335386681587,0.942170357164845,0.0578296428351553,0,0.25,0.0625,"TP_40°C,75%SOC"
TP_40C_12SOC,40,313.15,0.00319335781574325,0.125,12.5,5753.1,75.8491924808696,2.9244433250141,0.976754193092921,0.0232458069070792,0,-0.375,0.140625,"TP_40°C,12.5%SOC"
TP_40C_38SOC,40,313.15,0.00319335781574325,0.375,37.5,9031.6,95.0347304936464,2.82174508782412,0.942879485799219,0.0571205142007806,0,-0.125,0.015625,"TP_40°C,37.5%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,6388.1,79.9255903950668,2.80886617480379,0.93767948049507,0.0623205195049299,0,0.5,0.25,"TP_25°C,100%SOC"
TP_40C_50SOC,40,313.15,0.00319335781574325,0.5,50,14695,121.22293512368,2.76634845490801,0.925312313413004,0.0746876865869961,0,0,0,"TP_40°C,50%SOC"
TP_40C_25SOC,40,313.15,0.00319335781574325,0.25,25,18239,135.051841897843,2.78496498062024,0.928596279753181,0.0714037202468192,0,-0.25,0.0625,"TP_40°C,25%SOC"
TP_25C_100SOC,25,298.15,0.00335401643468053,1,100,7663.4,87.5408476084165,2.78866810784854,0.930936790829221,0.0690632091707795,0,0.5,0.25,"TP_25°C,100%SOC"
