T_degC,T_K,SOC_store,SOC_pct,t_h,source_col,TP_0C_50SOC,TP_10C_50SOC,TP_25C_0SOC,TP_25C_100SOC,TP_25C_50SOC,TP_40C_0SOC,TP_40C_100SOC,TP_40C_12_5SOC,TP_40C_25SOC,TP_40C_37_5SOC,TP_40C_50SOC,TP_40C_62_5SOC,TP_40C_75SOC,TP_40C_87_5SOC,TP_60C_0SOC,TP_60C_100SOC,TP_60C_50SOC
0,273.15,0.5,50,0,"TP_0°C,50%SOC",3.00315379838508,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,283.15,0.5,50,0,"TP_10°C,50%SOC",NaN,2.99514302303745,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,298.15,0,0,0,"TP_25°C,0%SOC",NaN,NaN,2.99596759106016,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,298.15,0.5,50,0,"TP_25°C,50%SOC",NaN,NaN,NaN,NaN,2.99311602073196,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,298.15,1,100,0,"TP_25°C,100%SOC",NaN,NaN,NaN,2.99555043405747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,313.15,0,0,0,"TP_40°C,0%SOC",NaN,NaN,NaN,NaN,NaN,2.9948,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,313.15,0.125,12.5,0,"TP_40°C,12.5%SOC",NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.99404225310133,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,313.15,0.25,25,0,"TP_40°C,25%SOC",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.99911279136341,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,313.15,0.375,37.5,0,"TP_40°C,37.5%SOC",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.99268902370095,NaN,NaN,NaN,NaN,NaN,NaN,NaN
40,313.15,0.5,50,0,"TP_40°C,50%SOC",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.98963756864357,NaN,NaN,NaN,NaN,NaN,NaN
40,313.15,0.625,62.5,0,"TP_40°C,62.5%SOC",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.99526415615506,NaN,NaN,NaN,NaN,NaN
40,313.15,0.75,75,0,"TP_40°C,75%SOC",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.99664900869078,NaN,NaN,NaN,NaN
40,313.15,0.875,87.5,0,"TP_40°C,87.5%SOC",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.9931931792705,NaN,NaN,NaN
40,313.15,1,100,0,"TP_40°C,100%SOC",NaN,NaN,NaN,NaN,NaN,NaN,2.99353745610228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
60,333.15,0,0,0,"TP_60°C,0%SOC",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.99607084911234,NaN,NaN
60,333.15,0.5,50,0,"TP_60°C,50%SOC",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.99083615332298
60,333.15,1,100,0,"TP_60°C,100%SOC",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.99094017096012,NaN
0,273.15,0.5,50,160.33,"TP_0°C,50%SOC",2.99843337747104,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,283.15,0.5,50,160.33,"TP_10°C,50%SOC",NaN,2.98693362811535,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,298.15,0,0,160.33,"TP_25°C,0%SOC",NaN,NaN,3.00197966101078,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
25,298.15,0.5,50,160.33,"TP_25°C,50%SOC",NaN,NaN,NaN,NaN,2.98576569576823,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
