Latitude (decimal degrees):	52.497
Longitude (decimal degrees):	13.334
Elevation (m):	44
Radiation database:	PVGIS-SARAH3


Slope: 37 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1000.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,14.99,6.34,0.0
20230101:0111,0.0,0.0,0.0,14.97,6.28,0.0
20230101:0211,0.0,0.0,0.0,14.71,6.14,0.0
20230101:0311,0.0,0.0,0.0,14.46,5.79,0.0
20230101:0411,0.0,0.0,0.0,14.21,5.45,0.0
20230101:0511,0.0,0.0,0.0,13.91,5.31,0.0
20230101:0611,0.0,0.0,0.0,14.02,5.72,0.0
20230101:0711,0.0,0.0,0.0,14.32,6.0,0.0
20230101:0811,93500.0,126.22,5.04,14.09,5.93,0.0
20230101:0911,22080.0,40.41,10.16,14.14,6.0,0.0
20230101:1011,79940.0,110.43,13.4,14.39,6.0,0.0
20230101:1111,84340.0,115.75,14.49,14.67,5.86,0.0
20230101:1211,163640.0,205.49,13.33,14.79,5.45,0.0
20230101:1311,22010.0,40.41,10.02,14.67,4.97,0.0
20230101:1411,6600.0,18.37,4.85,14.19,4.55,0.0
20230101:1511,0.0,0.0,0.0,13.44,4.14,0.0
20230101:1611,0.0,0.0,0.0,12.63,3.72,0.0
20230101:1711,0.0,0.0,0.0,11.9,3.31,0.0
20230101:1811,0.0,0.0,0.0,11.38,3.03,0.0
20230101:1911,0.0,0.0,0.0,11.56,3.03,0.0
20230101:2011,0.0,0.0,0.0,11.68,2.9,0.0
20230101:2111,0.0,0.0,0.0,11.7,2.83,0.0
20230101:2211,0.0,0.0,0.0,11.54,2.69,0.0
20230101:2311,0.0,0.0,0.0,11.26,2.48,0.0
20230102:0011,0.0,0.0,0.0,11.18,2.62,0.0
20230102:0111,0.0,0.0,0.0,11.19,3.24,0.0
20230102:0211,0.0,0.0,0.0,11.18,3.52,0.0
20230102:0311,0.0,0.0,0.0,11.44,3.66,0.0
20230102:0411,0.0,0.0,0.0,11.42,3.52,0.0
20230102:0511,0.0,0.0,0.0,11.38,3.79,0.0
20230102:0611,0.0,0.0,0.0,11.62,4.07,0.0
20230102:0711,0.0,0.0,0.0,12.23,4.07,0.0
20230102:0811,0.0,4.59,5.07,12.37,4.14,0.0
20230102:0911,3380.0,12.86,10.21,12.94,4.48,0.0
20230102:1011,16690.0,33.07,13.47,13.38,4.34,0.0
20230102:1111,28450.0,48.68,14.58,13.88,4.62,0.0
20230102:1211,33440.0,55.11,13.43,14.28,5.03,0.0
20230102:1311,13390.0,28.47,10.14,13.58,4.9,0.0
20230102:1411,4960.0,15.61,4.97,13.07,4.83,0.0
20230102:1511,0.0,0.0,0.0,12.76,4.76,0.0
20230102:1611,0.0,0.0,0.0,12.19,4.62,0.0
20230102:1711,0.0,0.0,0.0,11.73,4.62,0.0
20230102:1811,0.0,0.0,0.0,11.2,4.14,0.0
20230102:1911,0.0,0.0,0.0,10.5,3.17,0.0
20230102:2011,0.0,0.0,0.0,10.04,3.1,0.0
20230102:2111,0.0,0.0,0.0,9.5,3.31,0.0
20230102:2211,0.0,0.0,0.0,9.09,3.38,0.0
20230102:2311,0.0,0.0,0.0,8.7,3.45,0.0
20230103:0011,0.0,0.0,0.0,8.1,3.59,0.0
20230103:0111,0.0,0.0,0.0,7.74,3.59,0.0
20230103:0211,0.0,0.0,0.0,7.78,3.45,0.0
20230103:0311,0.0,0.0,0.0,7.65,3.31,0.0
20230103:0411,0.0,0.0,0.0,7.03,3.17,0.0
20230103:0511,0.0,0.0,0.0,6.54,3.1,0.0
20230103:0611,0.0,0.0,0.0,6.27,3.03,0.0
20230103:0711,0.0,0.0,0.0,5.75,2.97,0.0
20230103:0811,195380.0,235.72,5.11,5.78,2.97,0.0
20230103:0911,376930.0,436.33,10.27,6.15,3.24,0.0
20230103:1011,432220.0,497.82,13.55,6.35,3.86,0.0
20230103:1111,339010.0,392.88,14.67,6.67,3.66,0.0
20230103:1211,181110.0,218.64,13.54,6.71,3.1,0.0
20230103:1311,35410.0,55.87,10.26,6.7,2.55,0.0
20230103:1411,125830.0,159.21,5.1,6.48,2.0,0.0
20230103:1511,0.0,0.0,0.0,6.06,1.86,0.0
20230103:1611,0.0,0.0,0.0,5.46,1.52,0.0
20230103:1711,0.0,0.0,0.0,4.5,1.31,0.0
20230103:1811,0.0,0.0,0.0,3.78,1.59,0.0
20230103:1911,0.0,0.0,0.0,3.13,2.14,0.0
20230103:2011,0.0,0.0,0.0,3.87,2.28,0.0
20230103:2111,0.0,0.0,0.0,4.83,2.62,0.0
20230103:2211,0.0,0.0,0.0,5.11,2.9,0.0
20230103:2311,0.0,0.0,0.0,4.85,2.97,0.0
20230104:0011,0.0,0.0,0.0,4.33,2.9,0.0
20230104:0111,0.0,0.0,0.0,3.94,2.97,0.0
20230104:0211,0.0,0.0,0.0,3.75,3.17,0.0
20230104:0311,0.0,0.0,0.0,3.72,3.52,0.0
20230104:0411,0.0,0.0,0.0,3.94,3.93,0.0
20230104:0511,0.0,0.0,0.0,4.33,4.21,0.0
20230104:0611,0.0,0.0,0.0,4.84,4.41,0.0
20230104:0711,0.0,0.0,0.0,5.81,5.03,0.0
20230104:0811,4620.0,14.7,5.16,6.08,5.52,0.0
20230104:0911,7520.0,19.29,10.33,6.43,6.0,0.0
20230104:1011,5730.0,16.53,13.63,6.94,6.48,0.0
20230104:1111,33150.0,53.27,14.77,7.4,6.69,0.0
20230104:1211,31600.0,51.44,13.66,7.77,6.69,0.0
20230104:1311,59300.0,84.08,10.38,8.25,6.69,0.0
20230104:1411,0.0,4.59,5.23,8.76,6.55,0.0
20230104:1511,0.0,0.0,0.0,9.27,6.48,0.0
20230104:1611,0.0,0.0,0.0,9.61,6.21,0.0
20230104:1711,0.0,0.0,0.0,9.69,6.07,0.0
20230104:1811,0.0,0.0,0.0,9.63,6.14,0.0
20230104:1911,0.0,0.0,0.0,9.97,6.34,0.0
20230104:2011,0.0,0.0,0.0,10.03,6.21,0.0
20230104:2111,0.0,0.0,0.0,10.02,6.0,0.0
20230104:2211,0.0,0.0,0.0,9.9,6.28,0.0
20230104:2311,0.0,0.0,0.0,9.61,6.48,0.0
20230105:0011,0.0,0.0,0.0,9.28,6.83,0.0
20230105:0111,0.0,0.0,0.0,9.2,6.55,0.0
20230105:0211,0.0,0.0,0.0,9.05,6.48,0.0
20230105:0311,0.0,0.0,0.0,8.81,6.55,0.0
20230105:0411,0.0,0.0,0.0,8.65,7.03,0.0
20230105:0511,0.0,0.0,0.0,8.45,6.34,0.0
20230105:0611,0.0,0.0,0.0,8.43,6.34,0.0
20230105:0711,0.0,0.0,0.0,8.47,6.48,0.0
20230105:0811,72440.0,99.37,5.21,8.29,6.55,0.0
20230105:0911,138350.0,172.06,10.4,8.43,6.62,0.0
20230105:1011,37450.0,58.78,13.72,8.6,6.83,0.0
20230105:1111,99820.0,130.3,14.88,8.9,7.17,0.0
20230105:1211,190640.0,229.65,13.78,9.05,7.38,0.0
20230105:1311,54180.0,78.39,10.52,8.84,6.76,0.0
20230105:1411,1990.0,10.1,5.37,8.56,6.07,0.0
20230105:1511,0.0,0.0,0.0,8.24,5.59,0.0
20230105:1611,0.0,0.0,0.0,7.57,4.97,0.0
20230105:1711,0.0,0.0,0.0,6.95,4.48,0.0
20230105:1811,0.0,0.0,0.0,6.03,3.79,0.0
20230105:1911,0.0,0.0,0.0,6.19,3.24,0.0
20230105:2011,0.0,0.0,0.0,5.88,2.76,0.0
20230105:2111,0.0,0.0,0.0,5.17,1.93,0.0
20230105:2211,0.0,0.0,0.0,4.57,1.1,0.0
20230105:2311,0.0,0.0,0.0,4.04,0.83,0.0
20230106:0011,0.0,0.0,0.0,3.43,1.1,0.0
20230106:0111,0.0,0.0,0.0,3.74,1.52,0.0
20230106:0211,0.0,0.0,0.0,4.15,1.86,0.0
20230106:0311,0.0,0.0,0.0,4.33,2.21,0.0
20230106:0411,0.0,0.0,0.0,4.67,2.55,0.0
20230106:0511,0.0,0.0,0.0,4.82,2.83,0.0
20230106:0611,0.0,0.0,0.0,5.15,2.97,0.0
20230106:0711,0.0,0.0,0.0,5.71,3.1,0.0
20230106:0811,5750.0,16.53,5.27,6.26,3.03,0.0
20230106:0911,36810.0,57.62,10.48,7.0,3.03,0.0
20230106:1011,128130.0,161.49,13.82,7.91,2.97,0.0
20230106:1111,9210.0,22.04,15.0,9.32,2.76,0.0
20230106:1211,56620.0,81.92,13.91,9.85,4.14,0.0
20230106:1311,14320.0,29.39,10.66,9.95,4.83,0.0
20230106:1411,9190.0,22.04,5.52,9.92,4.9,0.0
20230106:1511,0.0,0.0,0.0,9.53,4.9,0.0
20230106:1611,0.0,0.0,0.0,8.96,4.28,0.0
20230106:1711,0.0,0.0,0.0,8.3,3.52,0.0
20230106:1811,0.0,0.0,0.0,7.94,3.03,0.0
20230106:1911,0.0,0.0,0.0,7.95,2.9,0.0
20230106:2011,0.0,0.0,0.0,7.7,2.83,0.0
20230106:2111,0.0,0.0,0.0,7.49,2.55,0.0
20230106:2211,0.0,0.0,0.0,7.35,2.28,0.0
20230106:2311,0.0,0.0,0.0,7.11,2.14,0.0
20230107:0011,0.0,0.0,0.0,6.76,2.14,0.0
20230107:0111,0.0,0.0,0.0,6.72,2.21,0.0
20230107:0211,0.0,0.0,0.0,6.95,2.07,0.0
20230107:0311,0.0,0.0,0.0,6.99,2.07,0.0
20230107:0411,0.0,0.0,0.0,6.76,2.21,0.0
20230107:0511,0.0,0.0,0.0,6.6,2.28,0.0
20230107:0611,0.0,0.0,0.0,6.63,2.34,0.0
20230107:0711,0.0,0.0,0.0,7.03,2.62,0.0
20230107:0811,66300.0,92.18,5.34,7.14,2.76,0.0
20230107:0911,54180.0,78.22,10.57,7.68,2.76,0.0
20230107:1011,80210.0,108.41,13.92,8.19,2.76,0.0
20230107:1111,160200.0,198.13,15.12,8.95,2.41,0.0
20230107:1211,88820.0,118.82,14.05,9.68,2.62,0.0
20230107:1311,29010.0,48.68,10.81,9.8,2.41,0.0
20230107:1411,47140.0,70.49,5.67,9.42,2.41,0.0
20230107:1511,0.0,0.0,0.0,8.51,2.55,0.0
20230107:1611,0.0,0.0,0.0,7.67,2.62,0.0
20230107:1711,0.0,0.0,0.0,7.14,2.69,0.0
20230107:1811,0.0,0.0,0.0,6.72,2.76,0.0
20230107:1911,0.0,0.0,0.0,7.44,2.76,0.0
20230107:2011,0.0,0.0,0.0,7.26,3.03,0.0
20230107:2111,0.0,0.0,0.0,7.16,3.17,0.0
20230107:2211,0.0,0.0,0.0,6.75,3.24,0.0
20230107:2311,0.0,0.0,0.0,6.52,3.24,0.0
20230108:0011,0.0,0.0,0.0,6.2,3.17,0.0
20230108:0111,0.0,0.0,0.0,5.79,3.03,0.0
20230108:0211,0.0,0.0,0.0,5.41,2.97,0.0
20230108:0311,0.0,0.0,0.0,5.26,2.9,0.0
