Hour,P_el,P_fc,m_dot_el,m_dot_fc,eta_el,i_model,V,eta_F,P_comp,m_H2,P_tank_bar
0,0,125.252,0,6.83261053378065,0,0,0,0,0,100,201.389054232804
1,0,121.943,0,6.65210157379374,0,0,0,0,0,93.1673894662193,187.628924499412
2,0,120.895,0,6.59493222049478,0,0,0,0,0,86.5152878924256,174.232320053344
3,0,122.971,0,6.70817990889998,0,0,0,0,0,79.9203556719308,160.950848427195
4,0,128.129,0,6.98955350080462,0,0,0,0,0,73.2121757630308,147.441308352426
5,0.07,143.276,0,7.81583612906745,0,0.000307742363984123,1.36614411801331,0,0,66.2226222622262,133.36511266206
6,53.208,154.098,1.22912521316069,8.40618607315277,0.789929854844136,0.197478034057186,1.57728393610235,0.993939300236607,1.34675801323005,58.4067861331588,117.624874201345
7,305.243,157.11,6.21041577173959,8.57049341297766,0.692127237661639,0.992949132709551,1.80895936144314,0.998794646135578,6.17492926287687,51.2297252731667,103.171059213694
8,649.83,156.366,11.775914329238,8.52990753620817,0.614669600581124,1.88171343987425,2.03807654757556,0.999363954654878,11.2898408276055,48.8696476319286,98.4181211728451
9,994.276,156.101,16.5020706494325,8.51545154515451,0.562586177575614,2.63644170079715,2.22716446161356,0.999546033931293,16.6230880216195,52.1156544249585,104.95522355366
10,1237.724,156.496,19.490728006104,8.5369991544609,0.534264143572588,3.11370567948889,2.34539259611513,0.999615617146421,21.7974358487133,60.1022735292365,121.039400232942
11,1309.935,156.191,20.3100235260325,8.52036112702179,0.527020172056249,3.24454042998062,2.3776672376717,0.999631117225963,25.4811593025809,71.0560023808796,143.099011170492
12,1217.103,153.869,19.1827951579639,8.39369391484603,0.537041646602158,3.06453133839382,2.33324816221727,0.999609449229874,26.576033124789,82.8456647798903,166.842100773101
13,987.378,152.296,16.3105508549959,8.30788533398794,0.564511085635614,2.60585756612309,2.21955829431032,0.999540705873627,24.3665130158097,93.6347660230082,188.570169726835
14,656.094,150.607,11.7624691147386,8.21574884761203,0.614832942599132,1.87956634979313,2.03753361256825,0.999363228079489,18.4523441431734,101.637431544016,204.686662133008
15,312.07,149.515,6.26435847048497,8.15617925428906,0.691261707831519,1.00156333766922,1.81124316174353,0.998805013093759,10.0265547233342,105.184151811143,211.829368535257
16,52.786,151.751,1.20663136253962,8.2781550882361,0.790505583769722,0.193885951271401,1.57595713691121,0.993827014972269,1.91093454927836,103.292331027339,208.019448550975
17,0.07,158.091,0,8.62400785533099,0,0.000307742363984123,1.36614411801331,0,0,96.2208073016421,193.778173799946
18,0,157.935,0,8.61549791342771,0,0,0,0,0,87.5967994463111,176.410365943132
19,0,149.132,0,8.13528625589832,0,0,0,0,0,78.9813015328834,159.059696177833
20,0,142.265,0,7.76068515942503,0,0,0,0,0,70.8460152769851,142.676120127948
21,0,138.24,0,7.54111774813845,0,0,0,0,0,63.08533011756,127.046949683397
22,0,130.433,0,7.11523879660693,0,0,0,0,0,55.5442123694216,111.859963971838
23,0,127.477,0,6.95398630772168,0,0,0,0,0,48.4289735728146,97.5306518529461
24,0,124.363,0,6.78411477511387,0,0,0,0,0,41.474987265093,83.5260845963467
25,0,121.986,0,6.65444726290811,0,0,0,0,0,34.6908724899791,69.863620012677
26,0,121.415,0,6.62329869350571,0,0,0,0,0,28.036425227071,56.4622916054856
27,0,121.8,0,4.03383045745368,0,0,0,0,0,21.4131265335653,43.1236930076208
28,0,126.885,0,0,0,0,0,0,0,17.3792960761116,35
29,0.141,141.685,0,0,0,0.000612040712815386,1.38364463199083,0,0,17.3792960761116,35
30,67.349,152.644,1.56851581146882,0,0.781481386451258,0.251675918909233,1.59642924672959,0.995244459305154,0.452164192233395,17.3792960761116,35
31,330.972,159.166,6.74268650655003,1.56851581146882,0.68370587103256,1.07794838766587,1.83141500227496,0.998889691669861,2.27255366657757,18.9478118875804,38.158819158209
32,679.467,159.418,12.2957291136398,6.74268650655003,0.608427554697696,1.9647235820816,2.05904116983673,0.999390827755517,5.900117314624,24.1219825826616,48.579032585424
33,970.466,159.277,16.2779692852766,8.68870523415978,0.564839960818542,2.60065455763451,2.21826392855182,0.999539786985253,9.93779039521835,29.6750251897514,59.7622525729867
34,1153.792,158.514,18.5584406055768,8.64708289010719,0.542768350296378,2.96482705575956,2.3085999219904,0.999596315383064,14.166181644681,37.2642892408682,75.0461996687611
35,1207.84,157.465,19.1758915480866,8.58985898589859,0.537104266984374,3.06342888872358,2.33297580341296,0.999609308680645,17.8802387674169,47.1756469563378,95.0065892335755
36,1117.268,153.465,18.0361723556849,8.37165534735292,0.547659396859737,2.88142511530916,2.28795549078153,0.999584630859249,19.604693094412,57.7616795185259,116.325700091343
37,875.249,151.287,14.8958354807654,8.2528434661648,0.579181423409125,2.37993916610497,2.16324377572334,0.999497106862507,18.0423001518166,67.4261965268579,135.788979490591
38,530.906,148.976,9.92039754141049,8.12677631399504,0.638173547954697,1.58540268256678,1.96278063378516,0.999245078182694,12.7916859314961,74.0691885414585,149.167238281556
39,217.528,147.66,4.56930988592036,8.05498731691351,0.719922802782299,0.730878031526905,1.73836452407681,0.998362442127607,5.98434850132844,75.8628097688739,152.779395107967
40,33.498,150.137,0.781848541132974,8.19010992008292,0.801691225755928,0.126051631297624,1.54877419883298,0.990505040974362,0.992951873284443,72.3771323378808,145.759622296083
41,0.07,154.297,0,8.41704170417042,0,0.000307742363984123,1.36614411801331,0,0,64.9688709589308,130.840194769922
42,0,153.874,0,8.39396666939421,0,0,0,0,0,56.5518292547604,113.889194087512
43,0,145.334,0,7.9281019010992,0,0,0,0,0,48.1578625853662,96.9846639994025
44,0,137.592,0,7.50576875869405,0,0,0,0,0,40.229760684267,81.0183345621658
45,0,133.723,0,7.29471128931075,0,0,0,0,0,32.723991925573,65.9025378461306
46,0,128.507,0,7.01017374464719,0,0,0,0,0,25.4292806362622,51.2117877715741
47,0,121.255,0,1.03981081550342,0,0,0,0,0,18.419106891615,37.0940651671527
48,0,117.187,0,0,0,0,0,0,0,17.3792960761116,35
49,0,114.083,0,0,0,0,0,0,0,17.3792960761116,35
50,0,112.704,0,0,0,0,0,0,0,17.3792960761116,35
51,0,112.536,0,0,0,0,0,0,0,17.3792960761116,35
52,0,112.005,0,0,0,0,0,0,0,17.3792960761116,35
53,0.281,111.894,4.85837738854914e-05,0,0.00576291066202544,0.00120461350305731,1.40095023533093,0.00644059588565749,1.40054966063821e-05,17.3792960761116,35
54,45.954,117.604,1.0867327204615,4.85837738857242e-05,0.793607142778893,0.174739125078629,1.56872961148722,0.99315061767794,0.313279773930478,17.3793446598855,35.0000978424027
55,198.17,126.259,4.28136981319865,1.0867327204615,0.725129409491597,0.684896372095393,1.72569258608322,0.998252501950588,1.38022150520773,18.4660287965731,37.1885607477758
56,417.664,131.594,8.22251970776096,4.28136981319865,0.661569897482119,1.3142655686346,1.89307200308387,0.99908933544114,3.4121077922235,21.6606658893102,43.6222101750095
