time,P_pv,P_load
2018-03-01T00:00:00Z,0,125.252
2018-03-01T01:00:00Z,0,121.943
2018-03-01T02:00:00Z,0,120.895
2018-03-01T03:00:00Z,0,122.971
2018-03-01T04:00:00Z,0,128.129
2018-03-01T05:00:00Z,0.07,143.276
2018-03-01T06:00:00Z,53.208,154.098
2018-03-01T07:00:00Z,305.243,157.11
2018-03-01T08:00:00Z,649.83,156.366
2018-03-01T09:00:00Z,994.276,156.101
2018-03-01T10:00:00Z,1237.724,156.496
2018-03-01T11:00:00Z,1309.935,156.191
2018-03-01T12:00:00Z,1217.103,153.869
2018-03-01T13:00:00Z,987.378,152.296
2018-03-01T14:00:00Z,656.094,150.607
2018-03-01T15:00:00Z,312.07,149.515
2018-03-01T16:00:00Z,52.786,151.751
2018-03-01T17:00:00Z,0.07,158.091
2018-03-01T18:00:00Z,0,157.935
2018-03-01T19:00:00Z,0,149.132
2018-03-01T20:00:00Z,0,142.265
2018-03-01T21:00:00Z,0,138.24
2018-03-01T22:00:00Z,0,130.433
2018-03-01T23:00:00Z,0,127.477
2018-03-02T00:00:00Z,0,124.363
2018-03-02T01:00:00Z,0,121.986
2018-03-02T02:00:00Z,0,121.415
2018-03-02T03:00:00Z,0,121.8
2018-03-02T04:00:00Z,0,126.885
2018-03-02T05:00:00Z,0.141,141.685
2018-03-02T06:00:00Z,67.349,152.644
2018-03-02T07:00:00Z,330.972,159.166
2018-03-02T08:00:00Z,679.467,159.418
2018-03-02T09:00:00Z,970.466,159.277
2018-03-02T10:00:00Z,1153.792,158.514
2018-03-02T11:00:00Z,1207.84,157.465
2018-03-02T12:00:00Z,1117.268,153.465
2018-03-02T13:00:00Z,875.249,151.287
2018-03-02T14:00:00Z,530.906,148.976
2018-03-02T15:00:00Z,217.528,147.66
2018-03-02T16:00:00Z,33.498,150.137
2018-03-02T17:00:00Z,0.07,154.297
2018-03-02T18:00:00Z,0,153.874
2018-03-02T19:00:00Z,0,145.334
2018-03-02T20:00:00Z,0,137.592
2018-03-02T21:00:00Z,0,133.723
2018-03-02T22:00:00Z,0,128.507
2018-03-02T23:00:00Z,0,121.255
2018-03-03T00:00:00Z,0,117.187
2018-03-03T01:00:00Z,0,114.083
2018-03-03T02:00:00Z,0,112.704
2018-03-03T03:00:00Z,0,112.536
2018-03-03T04:00:00Z,0,112.005
2018-03-03T05:00:00Z,0.281,111.894
2018-03-03T06:00:00Z,45.954,117.604
2018-03-03T07:00:00Z,198.17,126.259
2018-03-03T08:00:00Z,417.664,131.594
2018-03-03T09:00:00Z,621.323,135.044
2018-03-03T10:00:00Z,787.896,134.755
2018-03-03T11:00:00Z,891.344,131.066
2018-03-03T12:00:00Z,885.433,125.748
2018-03-03T13:00:00Z,757.706,123.157
2018-03-03T14:00:00Z,519.564,123.332
2018-03-03T15:00:00Z,250.246,122.913
2018-03-03T16:00:00Z,45.954,125.716
2018-03-03T17:00:00Z,0.141,131.245
2018-03-03T18:00:00Z,0,130.833
2018-03-03T19:00:00Z,0,124.615
2018-03-03T20:00:00Z,0,120.605
2018-03-03T21:00:00Z,0,119.006
2018-03-03T22:00:00Z,0,113.162
2018-03-03T23:00:00Z,0,107.433
