Latitude (decimal degrees):	51.437
Longitude (decimal degrees):	7.120
Elevation (m):	110
Radiation database:	PVGIS-SARAH3


Slope: 36 deg. (optimum)
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,14.92,7.17,0.0
20230101:0110,0.0,0.0,0.0,15.02,7.17,0.0
20230101:0210,0.0,0.0,0.0,15.09,7.38,0.0
20230101:0310,0.0,0.0,0.0,14.9,7.52,0.0
20230101:0410,0.0,0.0,0.0,14.65,7.45,0.0
20230101:0510,0.0,0.0,0.0,14.21,7.17,0.0
20230101:0610,0.0,0.0,0.0,13.92,6.97,0.0
20230101:0710,0.0,0.0,0.0,12.6,6.07,0.0
20230101:0810,0.0,2.77,3.18,11.76,5.79,0.0
20230101:0910,21.85,39.74,9.13,11.67,5.79,0.0
20230101:1010,69.47,97.44,13.3,12.05,5.93,0.0
20230101:1110,84.01,114.53,15.37,12.53,5.72,0.0
20230101:1210,100.93,133.93,15.13,12.89,5.45,0.0
20230101:1310,70.62,99.15,12.62,13.04,5.03,0.0
20230101:1410,36.47,58.38,8.06,12.92,4.48,0.0
20230101:1510,0.0,0.92,1.81,12.54,3.79,0.0
20230101:1610,0.0,0.0,0.0,11.83,3.45,0.0
20230101:1710,0.0,0.0,0.0,11.14,3.52,0.0
20230101:1810,0.0,0.0,0.0,11.05,3.59,0.0
20230101:1910,0.0,0.0,0.0,10.64,3.72,0.0
20230101:2010,0.0,0.0,0.0,10.75,4.14,0.0
20230101:2110,0.0,0.0,0.0,11.04,5.03,0.0
20230101:2210,0.0,0.0,0.0,11.51,5.86,0.0
20230101:2310,0.0,0.0,0.0,12.14,5.86,0.0
20230102:0010,0.0,0.0,0.0,12.46,5.38,0.0
20230102:0110,0.0,0.0,0.0,12.53,5.45,0.0
20230102:0210,0.0,0.0,0.0,12.57,5.59,0.0
20230102:0310,0.0,0.0,0.0,12.42,5.66,0.0
20230102:0410,0.0,0.0,0.0,12.07,5.72,0.0
20230102:0510,0.0,0.0,0.0,11.54,5.52,0.0
20230102:0610,0.0,0.0,0.0,11.22,5.31,0.0
20230102:0710,0.0,0.0,0.0,11.35,5.17,0.0
20230102:0810,53.64,79.71,3.21,11.17,5.24,0.0
20230102:0910,8.02,20.33,9.17,10.56,5.59,0.0
20230102:1010,60.23,86.05,13.36,9.88,5.17,0.0
